candidate_id,source_url,local_path,registration_status
arxiv:1804.02717v3,https://arxiv.org/pdf/1804.02717v3,research/raw_sources/oracle_composition/1804.02717v3.pdf,registered_not_screened
arxiv:1905.09808v1,https://arxiv.org/pdf/1905.09808v1,research/raw_sources/oracle_composition/1905.09808v1.pdf,registered_not_screened
arxiv:2205.01906v2,https://arxiv.org/pdf/2205.01906v2,research/raw_sources/oracle_composition/2205.01906v2.pdf,registered_not_screened
arxiv:2303.05711v2,https://arxiv.org/pdf/2303.05711v2,research/raw_sources/oracle_composition/2303.05711v2.pdf,registered_not_screened
arxiv:2305.02195v1,https://arxiv.org/pdf/2305.02195v1,research/raw_sources/oracle_composition/2305.02195v1.pdf,registered_not_screened
arxiv:2305.06456v3,https://arxiv.org/pdf/2305.06456v3,research/raw_sources/oracle_composition/2305.06456v3.pdf,registered_not_screened
arxiv:2309.11351v1,https://arxiv.org/pdf/2309.11351v1,research/raw_sources/oracle_composition/2309.11351v1.pdf,registered_not_screened
arxiv:2310.04582v2,https://arxiv.org/pdf/2310.04582v2,research/raw_sources/oracle_composition/2310.04582v2.pdf,registered_not_screened
arxiv:2310.10198v3,https://arxiv.org/pdf/2310.10198v3,research/raw_sources/oracle_composition/2310.10198v3.pdf,registered_not_screened
arxiv:2403.04205v3,https://arxiv.org/pdf/2403.04205v3,research/raw_sources/oracle_composition/2403.04205v3.pdf,registered_not_screened
arxiv:2406.06005v2,https://arxiv.org/pdf/2406.06005v2,research/raw_sources/oracle_composition/2406.06005v2.pdf,registered_not_screened
arxiv:2408.00776v2,https://arxiv.org/pdf/2408.00776v2,research/raw_sources/oracle_composition/2408.00776v2.pdf,registered_not_screened
arxiv:2409.14393v1,https://arxiv.org/pdf/2409.14393v1,research/raw_sources/oracle_composition/2409.14393v1.pdf,registered_not_screened
arxiv:2410.01030v3,https://arxiv.org/pdf/2410.01030v3,research/raw_sources/oracle_composition/2410.01030v3.pdf,registered_not_screened
arxiv:2508.08241v4,https://arxiv.org/pdf/2508.08241v4,research/raw_sources/oracle_composition/2508.08241v4.pdf,registered_not_screened
arxiv:2509.22442v1,https://arxiv.org/pdf/2509.22442v1,research/raw_sources/oracle_composition/2509.22442v1.pdf,registered_not_screened
arxiv:2510.02252v1,https://arxiv.org/pdf/2510.02252v1,research/raw_sources/oracle_composition/2510.02252v1.pdf,registered_not_screened
arxiv:2510.14454v1,https://arxiv.org/pdf/2510.14454v1,research/raw_sources/oracle_composition/2510.14454v1.pdf,registered_not_screened
arxiv:2601.23080v1,https://arxiv.org/pdf/2601.23080v1,research/raw_sources/oracle_composition/2601.23080v1.pdf,registered_not_screened
arxiv:2602.13656v1,https://arxiv.org/pdf/2602.13656v1,research/raw_sources/oracle_composition/2602.13656v1.pdf,registered_not_screened
arxiv:2602.15827v2,https://arxiv.org/pdf/2602.15827v2,research/raw_sources/oracle_composition/2602.15827v2.pdf,registered_not_screened
arxiv:2602.20375v1,https://arxiv.org/pdf/2602.20375v1,research/raw_sources/oracle_composition/2602.20375v1.pdf,registered_not_screened
arxiv:2603.09956v2,https://arxiv.org/pdf/2603.09956v2,research/raw_sources/oracle_composition/2603.09956v2.pdf,registered_not_screened
arxiv:2603.22201v3,https://arxiv.org/pdf/2603.22201v3,research/raw_sources/oracle_composition/2603.22201v3.pdf,registered_not_screened
arxiv:2603.27756v2,https://arxiv.org/pdf/2603.27756v2,research/raw_sources/oracle_composition/2603.27756v2.pdf,registered_not_screened
arxiv:2604.01064v1,https://arxiv.org/pdf/2604.01064v1,research/raw_sources/oracle_composition/2604.01064v1.pdf,registered_not_screened
arxiv:2604.14834v1,https://arxiv.org/pdf/2604.14834v1,research/raw_sources/oracle_composition/2604.14834v1.pdf,registered_not_screened
arxiv:2604.21355v2,https://arxiv.org/pdf/2604.21355v2,research/raw_sources/oracle_composition/2604.21355v2.pdf,registered_not_screened
arxiv:2604.22911v1,https://arxiv.org/pdf/2604.22911v1,research/raw_sources/oracle_composition/2604.22911v1.pdf,registered_not_screened
arxiv:2606.03476v1,https://arxiv.org/pdf/2606.03476v1,research/raw_sources/oracle_composition/2606.03476v1.pdf,registered_not_screened
arxiv:2606.12814v1,https://arxiv.org/pdf/2606.12814v1,research/raw_sources/oracle_composition/2606.12814v1.pdf,registered_not_screened
